Número do Alimento;Categoria do alimento;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)

64;Verduras, hortaliças e derivados;Abóbora, cabotian, cozida;86,4;48;201;1,4;0,7;NA;10,8;2,5;0,7;8;9;0,26;33;0,3;1;199;0,06;0,3;NA;;;0,08;Tr;0,07;Tr;7,5
65;Verduras, hortaliças e derivados;Abóbora, cabotian, crua;88,5;39;161;1,7;0,5;NA;8,4;2,2;0,8;18;9;0,11;26;0,4;Tr;351;0,06;0,3;NA;446;223;Tr;Tr;0,1;Tr;5,1
66;Verduras, hortaliças e derivados;Abóbora, menina brasileira, crua;95,7;14;57;0,6;Tr;NA;3,3;1,2;0,4;9;4;0,01;12;0,2;Tr;165;0,02;Tr;NA;1108;554;0,07;Tr;0,04;Tr;1,5
67;Verduras, hortaliças e derivados;Abóbora, moranga, crua;95,9;12;52;1;0,1;NA;2,7;1,7;0,4;3;2;0,01;8;Tr;Tr;125;0,05;0,1;NA;278;139;Tr;Tr;0,06;Tr;9,6
68;Verduras, hortaliças e derivados;Abóbora, moranga, refogada;92,5;29;121;0,4;0,8;NA;6;1,5;0,4;19;7;0,02;12;0,1;3;183;0,04;0,1;NA;95;48;0,05;Tr;0,05;Tr;6,7
69;Verduras, hortaliças e derivados;Abóbora, pescoço, crua;92,5;24;102;0,7;0,1;NA;6,1;2,3;0,6;9;7;0,07;32;0,3;1;264;0,09;0,2;NA;;;Tr;Tr;0,06;Tr;2,1
70;Verduras, hortaliças e derivados;Abobrinha, italiana, cozida;95,3;15;63;1,1;0,2;NA;3;1,6;0,4;17;17;0,11;22;0,2;1;126;0,01;0,3;NA;;;0,05;Tr;0,06;Tr;2,1
71;Verduras, hortaliças e derivados;Abobrinha, italiana, crua;93,9;19;81;1,1;0,1;NA;4,3;1,4;0,6;15;20;0,09;32;0,2;Tr;253;0,05;0,2;NA;41;20;Tr;0,06;0,03;Tr;6,9
72;Verduras, hortaliças e derivados;Abobrinha, italiana, refogada;93,5;24;102;1,1;0,8;NA;4,2;1,4;0,4;21;13;0,14;32;0,4;2;194;0,02;0,3;NA;42;21;0,04;Tr;Tr;Tr;7,5
73;Verduras, hortaliças e derivados;Abobrinha, paulista, crua;90,9;31;129;0,6;0,1;NA;7,9;2,6;0,5;19;9;0,11;33;0,2;1;213;0,1;0,2;NA;;;Tr;Tr;0,03;Tr;17,5
74;Verduras, hortaliças e derivados;Acelga, crua;93,2;21;88;1,4;0,1;NA;4,6;1,1;0,6;43;10;0,11;40;0,3;1;240;0,1;0,3;NA;;;0,04;Tr;0,16;Tr;22,6
75;Verduras, hortaliças e derivados;Agrião, cru;93,9;17;69;2,7;0,2;NA;2,3;2,1;0,9;133;18;0,28;51;3,1;7;218;0,1;0,7;NA;458;229;0,11;0,23;0,09;1,19;60,1
